ma_shop_n, metroarian, ma_ptrans, ucl_code, ma_edu, ucl_name, metroariac, ma_shop, ma_edu_n, ma_hlth_n, ma_hlth, ma_ptransn, ma_fpost_n, ma_fpost, sa1no
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","High Accessibility",2,"20601110713"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","High Accessibility",2,"20601110714"
"Very High Accessibility","Very High Accessibility",2,201001,2,"Melbourne",1,1,"High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20601110715"
"High Accessibility","High Accessibility",1,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"Very High Accessibility","High Accessibility",2,"20601110716"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","High Accessibility",2,"20601110717"
"High Accessibility","High Accessibility",1,201001,2,"Melbourne",2,2,"High Accessibility","High Accessibility",2,"Very High Accessibility","High Accessibility",2,"20601110718"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20601110719"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110720"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110721"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20601110722"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110723"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110724"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20601110725"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110726"
"Very High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,1,"High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20601110727"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","High Accessibility",2,"20601110728"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110729"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110730"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20601110731"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"Very High Accessibility","Very High Accessibility",1,"20601110801"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110802"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110803"
"High Accessibility","Very High Accessibility",3,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Moderate Accessibility","Very High Accessibility",1,"20601110804"
"High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110805"
"High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20601110806"
"High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20601110807"
"High Accessibility","High Accessibility",2,201001,1,"Melbourne",2,2,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20601110808"
"High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20601110809"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","High Accessibility",2,"20601110810"
