Uni, Yr_12, emppoprati, NAME_2006, Cert, median06, SSC2006
0.291787,0.4003,0.745476,"Mount Eliza",0.307914,47302.54892,21477
0.124054,0.51812,0.733572,"Mount Evelyn",0.357826,37916.98793,21479
0.205612,0.445319,0.739313,"Mount Martha",0.349069,42073.94213,21481
0.371928,0.387869,0.738059,"Mount Waverley",0.240203,44149.99446,21483
0.216967,0.521697,0.698449,"Mulgrave",0.261337,36727.8799,21485
0.40565,0.372971,0.762376,"Murrumbeena",0.221379,44812.30133,21487
0.107679,0.593503,0.714576,"Narre Warren",0.298818,36287.91578,21489
0.154591,0.517241,0.77653,"Narre Warren North",0.328167,44640.37793,21493
0.139571,0.546357,0.759286,"Narre Warren South",0.314071,41017.69965,21495
0.306996,0.438171,0.735655,"Newport",0.254833,47332.58626,21497
0.232788,0.484079,0.757094,"Niddrie",0.283133,45557.75633,21499
0.122756,0.664012,0.569222,"Noble Park",0.213233,27689.758,21501
0.102157,0.648258,0.623607,"Noble Park North",0.249585,29616.37816,21503
0.477864,0.373507,0.652717,"North Melbourne",0.14863,41816.83444,21505
0.393377,0.310596,0.77336,"North Warrandyte",0.296026,51482.95595,21507
0.46323,0.354884,0.743702,"Northcote",0.181886,44921.76382,21509
0.386617,0.389095,0.686881,"Notting Hill",0.224287,38802.42492,21511
0.309643,0.439365,0.737369,"Nunawading",0.250992,40654.66963,21513
0.233998,0.473815,0.751146,"Oak Park",0.292186,40317.93084,21515
0.312072,0.443068,0.704444,"Oakleigh",0.24486,39938.02877,21517
0.306658,0.461135,0.715271,"Oakleigh East",0.232207,37528.41536,21519
0.220322,0.513745,0.715363,"Oakleigh South",0.265934,36249.93512,21521
0.107792,0.557143,0.797927,"Officer",0.335065,42503.88629,21523
0.281734,0.394221,0.750518,"Olinda",0.324045,41064.1621,21525
0.42668,0.350172,0.763409,"Ormond",0.223149,45843.95326,21527
0.33908,0.363114,0.767539,"Park Orchards",0.297806,48991.9993,21531
0.281084,0.424798,0.77437,"Parkdale",0.294118,46328.25607,21533
0.619926,0.260938,0.701422,"Parkville",0.119135,50124.29599,21535
0.221621,0.51759,0.696036,"Pascoe Vale",0.260789,38957.92522,21537
0.273508,0.4693,0.735079,"Pascoe Vale South",0.257192,42475.39936,21539
0.147749,0.536159,0.74695,"Patterson Lakes",0.316092,45204.59436,21541
0.204461,0.457249,0.804104,"Plenty",0.33829,45829.35734,21543
0.274695,0.433624,0.792903,"Point Cook",0.291681,51505.93328,21545
0.384457,0.428077,0.700162,"Port Melbourne",0.187466,63216.95454,21547
0.189873,0.620253,0.0,"Portsea",0.189873,51665.40963,21549
0.438913,0.387427,0.731371,"Prahran",0.17366,55756.65422,21551
0.249649,0.54499,0.624785,"Preston",0.205361,32903.72296,21553
0.594842,0.278702,0.754357,"Princes Hill",0.126456,53347.18691,21555
0.288097,0.392722,0.804249,"Research",0.319181,47218.56028,21557
0.157586,0.615855,0.608368,"Reservoir",0.226559,29921.96623,21559
0.409338,0.422573,0.709842,"Richmond",0.168089,51757.19787,21561
0.21986,0.48261,0.730793,"Ringwood",0.29753,39162.70149,21563
0.220281,0.465663,0.743023,"Ringwood East",0.314056,40433.29166,21565
0.26396,0.42996,0.778881,"Ringwood North",0.30608,45591.33587,21567
0.378115,0.420368,0.695699,"Ripponlea",0.201517,46148.35776,21569
0.380679,0.364258,0.762999,"Rosanna",0.255063,47773.90694,21571
0.084469,0.604321,0.597898,"Rosebud",0.311211,28087.66188,21573
0.056436,0.641091,0.522236,"Rosebud West",0.302473,23816.39719,21575
0.200778,0.49305,0.780524,"Rowville",0.306172,42808.53598,21577
0.127155,0.645725,0.614299,"Roxburgh Park",0.22712,31307.34578,21579
0.106393,0.599123,0.544447,"Rye",0.294484,28180.37691,21581
0.121569,0.554902,0.626875,"Safety Beach",0.323529,31239.28532,21583
0.208892,0.462244,0.828311,"Saint Helena",0.328864,47051.93791,21585
0.425649,0.33282,0.75258,"Sandringham",0.241531,56335.72344,21587
0.321799,0.358131,0.775261,"Sassafras",0.320069,45245.13369,21589
0.176817,0.511033,0.771563,"Scoresby",0.312151,38856.08777,21591
0.138987,0.572484,0.722281,"Seabrook",0.288529,39245.92773,21593
0.115842,0.59008,0.653646,"Seaford",0.294078,34172.20526,21595
0.206542,0.502804,0.717901,"Seaholme",0.290654,40639.69109,21597
0.358541,0.436153,0.720437,"Seddon",0.205307,44930.75183,21599
0.228155,0.401699,0.792892,"Selby",0.370146,41092.30235,21601
0.36,0.368,0.0,"Sherbrooke",0.272,53225.38863,21605
0.10692,0.574662,0.774168,"Skye",0.318418,41577.77673,21609
