fieldsurfacetype, streetno, sportsplayed, facilityname, numberfieldcourts, facilitycondition, facilityupgradeage, postcode, facility_id, facilityage, streettype, changerooms, longitude, latitude, objectid, faciltysportplayedid, suburbtown, lga, streetname
"Turf Pitch",null,"Cricket","Hamilton Recreation Reserve",1,"2. Poor","1 - 5 Years",3300,"SOUTHE11408","26 - 50 Years","Street","Unisex",142.023487999756,-37.7351429990938,7657,18467,"HAMILTON","SOUTHERN GRAMPIANS","MacPherson"
"Turf Pitch",null,"Cricket","Kennedy Oval",1,"3. Average","6 - 10 Years",3300,"SOUTHE11410","26 - 50 Years","Street","Unisex",142.02372699975,-37.7505869986737,7658,18473,"HAMILTON","SOUTHERN GRAMPIANS","Palmer"
"Synthetic Pitch",null,"Cricket","Kennedy Oval",1,"3. Average","6 - 10 Years",3300,"SOUTHE11410","26 - 50 Years","Street","Unisex",142.02372699975,-37.7505869986737,7659,18472,"HAMILTON","SOUTHERN GRAMPIANS","Palmer"
"Turf Pitch",null,"Cricket","Melville Oval",1,"2. Poor","1 - 5 Years",3300,"SOUTHE11411","26 - 50 Years","Place","Male, Umpire/Officials",142.022361999819,-37.7405069991276,7660,18475,"HAMILTON","SOUTHERN GRAMPIANS","Market"
"Synthetic Pitch",null,"Cricket","Mitchell Park",1,"2. Poor","1 - 5 Years",3300,"SOUTHE11413","26 - 50 Years","Road","Unisex",142.031502999933,-37.7547739987705,7661,18479,"HAMILTON","SOUTHERN GRAMPIANS","Mt Napier"
"Turf Pitch",null,"Cricket","Pedrina Park",1,"3. Average","6 - 10 Years",3300,"SOUTHE11417","26 - 50 Years","Road","Unisex",142.029268000348,-37.725571999042,7662,18486,"HAMILTON","SOUTHERN GRAMPIANS","North Boundary"
"Synthetic Pitch",null,"Cricket","Pedrina Park",2,"3. Average","6 - 10 Years",3300,"SOUTHE11417","26 - 50 Years","Road","Unisex",142.029268000348,-37.725571999042,7663,18490,"HAMILTON","SOUTHERN GRAMPIANS","North Boundary"
"Synthetic Pitch",null,"Cricket","Pigeon ponds Recreation Reserve",1,"2. Poor","1 - 5 Years",3407,"SOUTHE11420","26 - 50 Years","Road","Unisex",141.666407999647,-37.2971689995197,7664,18497,"PIGEON PONDS","SOUTHERN GRAMPIANS","Edenhope-Coleraine"
"Turf Pitch",null,"Cricket","Tarrington Recreation Reserve",1,"1. Very Poor","1 - 5 Years",3301,"SOUTHE11421","26 - 50 Years","Avenue","Unisex",142.097972000444,-37.7657469992675,7665,18499,"TARRINGTON","SOUTHERN GRAMPIANS","Oval"
"Grass",null,"Croquet","Hamilton Croquet Club",1,"3. Average","6 - 10 Years",3300,"SOUTHE11404","26 - 50 Years","Street",null,142.023503999507,-37.7488429987863,7666,18458,"HAMILTON","SOUTHERN GRAMPIANS","Kennedy"
null,null,"Equestrian","Coleraine Showgrounds",null,null,null,3315,"SOUTHE11382",null,"Road",null,141.679460000344,-37.5941239989697,7667,26958,"COLERAINE","SOUTHERN GRAMPIANS","Casterton"
null,null,"Equestrian","Dunkeld Racecourse",null,null,null,3294,"SOUTHE11383",null,"Road",null,142.347616999942,-37.6394299990913,7668,26959,"DUNKELD","SOUTHERN GRAMPIANS","Victoria Valley"
null,null,"Equestrian","Yulecart Recreation Reserve",null,null,null,3300,"SOUTHE4908",null,"Road",null,141.941199999531,-37.7465099988262,7669,26994,"YULECART","SOUTHERN GRAMPIANS","Digby"
null,null,"Fitness / Gymnasium Workouts","Hamilton Indoor Leisure & Aquatic Centre",1,"5. Very Good","11 + Years",3300,"SOUTHE11406","6 - 10 Years","Street","Female, Male",142.017872000535,-37.732145999013,7670,18461,"HAMILTON","SOUTHERN GRAMPIANS","Shakespear"
null,"93","Fitness / Gymnasium Workouts","Vitality Health & Fitness",null,"4. Good","11 + Years",3300,"SOUTHE11423","6 - 10 Years","Street","Female, Male",142.017898000391,-37.7455719990484,7671,18502,"HAMILTON","SOUTHERN GRAMPIANS","Shakespear"
"18 Hole Course - Public",null,"Golf","Balmoral Golf Club",1,"3. Average","11 + Years",3407,"SOUTHE11385","26 - 50 Years","Road",null,141.872795999564,-37.2409019987638,7672,18423,"BALMORAL","SOUTHERN GRAMPIANS","Rocklands"
"18 Hole Course - Public",null,"Golf","Coleraine Golf Club",1,"3. Average","6 - 10 Years",3315,"SOUTHE11393","26 - 50 Years","Road",null,141.708023000383,-37.605362998983,7673,18443,"COLERAINE","SOUTHERN GRAMPIANS","Racecourse"
"18 Hole Course - Public",null,"Golf","Grampions Golf Club",1,"3. Average","6 - 10 Years",3294,"SOUTHE11401","26 - 50 Years","Road",null,142.325063999848,-37.6024579993824,7674,18455,"DUNKELD","SOUTHERN GRAMPIANS","Victoria Valley"
"18 Hole Course - Public",null,"Golf","Hamilton Golf Club",1,"4. Good","11 + Years",3300,"SOUTHE11405","26 - 50 Years","Road",null,142.040067000537,-37.7460039993135,7675,18459,"HAMILTON","SOUTHERN GRAMPIANS","Rippon"
"9 Hole Course - Public",null,"Golf","Mooralla Golf Course",1,"2. Poor","6 - 10 Years",3314,"SOUTHE11414","26 - 50 Years","Hwy","Unisex",142.161619000388,-37.3765839991219,7676,18481,"MOORALLA","SOUTHERN GRAMPIANS","Henty"
"18 Hole Course - Public",null,"Golf","Parklands Golf Course",1,"4. Good","11 + Years",3300,"SOUTHE11415","11 - 25 Years","Road",null,142.035034999827,-37.7255959994257,7677,18482,"HAMILTON","SOUTHERN GRAMPIANS","North Boundary"
